                                                                                                                                                                                 List of relations
 table_catalog |    table_schema    |           table_name            | table_type | self_referencing_column_name | reference_generation | user_defined_type_catalog | user_defined_type_schema | user_defined_type_name | is_insertable_into | is_typed | commit_action | parent_table_name | on_delete_action | spanner_state | interleave_type | row_deletion_policy_expression 
++++++++++++++++
 testdb_e2e_psql_v?? | public             | users                           | BASE TABLE |                              |                      |                           |                          |                        |                    |          |               |                   |                  | COMMITTED     |                 | 
 testdb_e2e_psql_v?? | pg_catalog         | pg_index                        | VIEW       |                              |                      |                           |                          |                        |                    |          |               |                   |                  |               |                 | 
 testdb_e2e_psql_v?? | information_schema | check_constraints               | VIEW       |                              |                      |                           |                          |                        |                    |          |               |                   |                  |               |                 | 
 testdb_e2e_psql_v?? | information_schema | column_options                  | VIEW       |                              |                      |                           |                          |                        |                    |          |               |                   |                  |               |                 | 
 testdb_e2e_psql_v?? | information_schema | columns                         | VIEW       |                              |                      |                           |                          |                        |                    |          |               |                   |                  |               |                 | 
 testdb_e2e_psql_v?? | information_schema | constraint_column_usage         | VIEW       |                              |                      |                           |                          |                        |                    |          |               |                   |                  |               |                 | 
 testdb_e2e_psql_v?? | information_schema | constraint_table_usage          | VIEW       |                              |                      |                           |                          |                        |                    |          |               |                   |                  |               |                 | 
 testdb_e2e_psql_v?? | information_schema | database_options                | VIEW       |                              |                      |                           |                          |                        |                    |          |               |                   |                  |               |                 | 
 testdb_e2e_psql_v?? | information_schema | index_columns                   | VIEW       |                              |                      |                           |                          |                        |                    |          |               |                   |                  |               |                 | 
 testdb_e2e_psql_v?? | information_schema | indexes                         | VIEW       |                              |                      |                           |                          |                        |                    |          |               |                   |                  |               |                 | 
 testdb_e2e_psql_v?? | information_schema | information_schema_catalog_name | VIEW       |                              |                      |                           |                          |                        |                    |          |               |                   |                  |               |                 | 
 testdb_e2e_psql_v?? | information_schema | key_column_usage                | VIEW       |                              |                      |                           |                          |                        |                    |          |               |                   |                  |               |                 | 
 testdb_e2e_psql_v?? | information_schema | referential_constraints         | VIEW       |                              |                      |                           |                          |                        |                    |          |               |                   |                  |               |                 | 
